id,name,cx,cy,w,h,class_id,anchor_id
0,VOC2012/Annotations/2008_000002.xml,0.482,0.4053333333333333,0.828,0.752,19,2
1,VOC2012/Annotations/2008_000003.xml,0.546,0.5165165165165165,0.908,0.9669669669669669,18,2
1,VOC2012/Annotations/2008_000003.xml,0.145,0.6501501501501501,0.042,0.15915915915915915,14,3
2,VOC2012/Annotations/2008_000007.xml,0.429,0.6973333333333334,0.854,0.168,3,1
3,VOC2012/Annotations/2008_000008.xml,0.524,0.5735294117647058,0.836,0.753393665158371,12,2
3,VOC2012/Annotations/2008_000008.xml,0.447,0.23868778280542988,0.262,0.27828054298642535,14,4
4,VOC2012/Annotations/2008_000009.xml,0.511,0.5093333333333333,0.154,0.16,9,4
4,VOC2012/Annotations/2008_000009.xml,0.965,0.5133333333333333,0.07,0.136,9,3
5,VOC2012/Annotations/2008_000015.xml,0.648,0.2706422018348624,0.216,0.5351681957186545,4,0
5,VOC2012/Annotations/2008_000015.xml,0.221,0.2308868501529052,0.214,0.45565749235474007,4,0
6,VOC2012/Annotations/2008_000016.xml,0.483,0.49066666666666664,0.602,0.9013333333333333,19,2
7,VOC2012/Annotations/2008_000019.xml,0.5322916666666667,0.36580882352941174,0.48541666666666666,0.7169117647058824,11,2
7,VOC2012/Annotations/2008_000019.xml,0.503125,0.5551470588235294,0.31875,0.625,11,0
7,VOC2012/Annotations/2008_000019.xml,0.8760416666666667,0.20772058823529413,0.24791666666666667,0.40808823529411764,11,0
8,VOC2012/Annotations/2008_000021.xml,0.489,0.5813333333333334,0.922,0.37333333333333335,0,1
9,VOC2012/Annotations/2008_000023.xml,0.4804804804804805,0.263,0.924924924924925,0.522,19,2
9,VOC2012/Annotations/2008_000023.xml,0.24174174174174173,0.508,0.24324324324324326,0.628,4,0
9,VOC2012/Annotations/2008_000023.xml,0.4594594594594595,0.145,0.0960960960960961,0.146,14,3
9,VOC2012/Annotations/2008_000023.xml,0.5945945945945946,0.14,0.10810810810810811,0.136,14,3
9,VOC2012/Annotations/2008_000023.xml,0.32882882882882886,0.142,0.08108108108108109,0.128,14,3
10,VOC2012/Annotations/2008_000026.xml,0.494,0.5093333333333333,0.5,0.9813333333333333,14,2
10,VOC2012/Annotations/2008_000026.xml,0.536,0.536,0.228,0.288,11,4
11,VOC2012/Annotations/2008_000027.xml,0.509,0.5426666666666666,0.982,0.9146666666666666,6,2
12,VOC2012/Annotations/2008_000028.xml,0.389,0.5853333333333334,0.146,0.10933333333333334,6,4
12,VOC2012/Annotations/2008_000028.xml,0.141,0.5866666666666667,0.094,0.096,6,3
13,VOC2012/Annotations/2008_000032.xml,0.495,0.5226666666666666,0.966,0.416,5,2
13,VOC2012/Annotations/2008_000032.xml,0.7,0.5293333333333333,0.056,0.136,14,3
14,VOC2012/Annotations/2008_000033.xml,0.58,0.4774774774774775,0.744,0.5885885885885885,0,2
15,VOC2012/Annotations/2008_000034.xml,0.07544378698224852,0.596,0.11538461538461539,0.256,4,4
15,VOC2012/Annotations/2008_000034.xml,0.15384615384615385,0.492,0.30177514792899407,0.36,14,1
15,VOC2012/Annotations/2008_000034.xml,0.34615384615384615,0.527,0.47928994082840237,0.61,14,2
15,VOC2012/Annotations/2008_000034.xml,0.6346153846153846,0.542,0.7307692307692307,0.916,14,2
16,VOC2012/Annotations/2008_000036.xml,0.323,0.048,0.166,0.09066666666666667,1,4
16,VOC2012/Annotations/2008_000036.xml,0.39,0.212,0.312,0.22133333333333333,1,4
16,VOC2012/Annotations/2008_000036.xml,0.601,0.4146666666666667,0.378,0.43466666666666665,14,1
16,VOC2012/Annotations/2008_000036.xml,0.524,0.25333333333333335,0.952,0.496,3,2
16,VOC2012/Annotations/2008_000036.xml,0.501,0.6253333333333333,0.998,0.25333333333333335,3,1
17,VOC2012/Annotations/2008_000037.xml,0.497,0.49436936936936937,0.806,0.28153153153153154,0,1
18,VOC2012/Annotations/2008_000041.xml,0.657,0.5386666666666666,0.23,0.17066666666666666,14,4
18,VOC2012/Annotations/2008_000041.xml,0.623,0.56,0.066,0.112,14,3
18,VOC2012/Annotations/2008_000041.xml,0.462,0.5493333333333333,0.1,0.16,14,3
18,VOC2012/Annotations/2008_000041.xml,0.32,0.656,0.152,0.448,14,0
18,VOC2012/Annotations/2008_000041.xml,0.957,0.6786666666666666,0.086,0.22666666666666666,14,4
18,VOC2012/Annotations/2008_000041.xml,0.938,0.5546666666666666,0.124,0.18666666666666668,14,4
18,VOC2012/Annotations/2008_000041.xml,0.803,0.8626666666666667,0.202,0.27466666666666667,8,4
18,VOC2012/Annotations/2008_000041.xml,0.618,0.8186666666666667,0.176,0.304,8,4
18,VOC2012/Annotations/2008_000041.xml,0.475,0.8466666666666667,0.194,0.30666666666666664,8,4
18,VOC2012/Annotations/2008_000041.xml,0.551,0.74,0.506,0.2853333333333333,10,1
18,VOC2012/Annotations/2008_000041.xml,0.827,0.7293333333333333,0.222,0.456,14,0
19,VOC2012/Annotations/2008_000042.xml,0.945,0.7853333333333333,0.11,0.216,6,4
20,VOC2012/Annotations/2008_000043.xml,0.591,0.6938502673796791,0.518,0.45187165775401067,10,1
20,VOC2012/Annotations/2008_000043.xml,0.56,0.5922459893048129,0.144,0.3502673796791444,8,4
20,VOC2012/Annotations/2008_000043.xml,0.716,0.47593582887700536,0.12,0.0855614973262032,8,3
20,VOC2012/Annotations/2008_000043.xml,0.795,0.679144385026738,0.17,0.39572192513368987,8,4
20,VOC2012/Annotations/2008_000043.xml,0.662,0.7125668449197861,0.168,0.3716577540106952,8,4
20,VOC2012/Annotations/2008_000043.xml,0.428,0.7179144385026738,0.2,0.393048128342246,8,0
20,VOC2012/Annotations/2008_000043.xml,0.336,0.5922459893048129,0.072,0.3235294117647059,8,3
21,VOC2012/Annotations/2008_000045.xml,0.5,0.512,0.82,0.8,18,2
22,VOC2012/Annotations/2008_000050.xml,0.62,0.5666666666666667,0.072,0.08266666666666667,6,3
23,VOC2012/Annotations/2008_000051.xml,0.539,0.7587601078167115,0.198,0.48247978436657685,8,0
23,VOC2012/Annotations/2008_000051.xml,0.375,0.32075471698113206,0.022,0.09164420485175202,4,3
23,VOC2012/Annotations/2008_000051.xml,0.258,0.24123989218328842,0.036,0.10512129380053908,4,3
23,VOC2012/Annotations/2008_000051.xml,0.425,0.7142857142857143,0.25,0.5390835579514824,14,0
23,VOC2012/Annotations/2008_000051.xml,0.4,0.6792452830188679,0.368,0.6415094339622641,14,0
24,VOC2012/Annotations/2008_000052.xml,0.6971153846153846,0.5611702127659575,0.375,0.3670212765957447,6,1
24,VOC2012/Annotations/2008_000052.xml,0.5208333333333334,0.4973404255319149,0.041666666666666664,0.21808510638297873,14,3
24,VOC2012/Annotations/2008_000052.xml,0.47275641025641024,0.5079787234042553,0.041666666666666664,0.18617021276595744,14,3
25,VOC2012/Annotations/2008_000053.xml,0.554,0.5026666666666667,0.892,0.9946666666666667,11,2
26,VOC2012/Annotations/2008_000054.xml,0.602,0.4264264264264264,0.068,0.25225225225225223,2,3
26,VOC2012/Annotations/2008_000054.xml,0.31,0.5330330330330331,0.172,0.1891891891891892,2,4
27,VOC2012/Annotations/2008_000056.xml,0.396,0.5013333333333333,0.788,0.9973333333333333,7,2
28,VOC2012/Annotations/2008_000059.xml,0.5013333333333333,0.548,0.9973333333333333,0.772,11,2
29,VOC2012/Annotations/2008_000060.xml,0.38392857142857145,0.5476190476190477,0.7633928571428571,0.9047619047619048,7,2
30,VOC2012/Annotations/2008_000062.xml,0.49898580121703856,0.486,0.9939148073022313,0.96,7,2
31,VOC2012/Annotations/2008_000064.xml,0.5013333333333333,0.613,0.9973333333333333,0.618,0,2
32,VOC2012/Annotations/2008_000066.xml,0.4554865424430642,0.509,0.906832298136646,0.982,11,2
33,VOC2012/Annotations/2008_000067.xml,0.4653333333333333,0.669,0.42933333333333334,0.442,8,1
33,VOC2012/Annotations/2008_000067.xml,0.5026666666666667,0.571,0.28,0.242,14,4
34,VOC2012/Annotations/2008_000070.xml,0.393,0.7373333333333333,0.066,0.088,19,3
34,VOC2012/Annotations/2008_000070.xml,0.814,0.796,0.16,0.2906666666666667,8,4
34,VOC2012/Annotations/2008_000070.xml,0.626,0.8293333333333334,0.232,0.3413333333333333,8,0
35,VOC2012/Annotations/2008_000073.xml,0.317,0.6923076923076923,0.434,0.2849002849002849,9,1
36,VOC2012/Annotations/2008_000074.xml,0.433,0.684,0.682,0.4186666666666667,6,1
37,VOC2012/Annotations/2008_000075.xml,0.514,0.44,0.972,0.49066666666666664,5,2
38,VOC2012/Annotations/2008_000076.xml,0.569,0.521021021021021,0.862,0.8198198198198198,12,2
39,VOC2012/Annotations/2008_000078.xml,0.49452954048140046,0.501,0.9190371991247265,0.998,11,2
40,VOC2012/Annotations/2008_000080.xml,0.603,0.476,0.402,0.568,11,0
41,VOC2012/Annotations/2008_000082.xml,0.637,0.6506666666666666,0.13,0.25066666666666665,14,4
41,VOC2012/Annotations/2008_000082.xml,0.328,0.612,0.084,0.14666666666666667,14,3
41,VOC2012/Annotations/2008_000082.xml,0.163,0.576,0.234,0.16,3,4
41,VOC2012/Annotations/2008_000082.xml,0.474,0.8,0.436,0.3253333333333333,13,1
42,VOC2012/Annotations/2008_000084.xml,0.402,0.7,0.24,0.20540540540540542,16,4
43,VOC2012/Annotations/2008_000085.xml,0.396,0.5013333333333333,0.788,0.9973333333333333,6,2
44,VOC2012/Annotations/2008_000089.xml,0.5026595744680851,0.512,0.6276595744680851,0.952,8,2
45,VOC2012/Annotations/2008_000090.xml,0.657,0.6816816816816816,0.106,0.5525525525525525,14,0
45,VOC2012/Annotations/2008_000090.xml,0.57,0.3333333333333333,0.136,0.4264264264264264,14,4
45,VOC2012/Annotations/2008_000090.xml,0.288,0.3933933933933934,0.132,0.3483483483483483,14,4
45,VOC2012/Annotations/2008_000090.xml,0.251,0.47297297297297297,0.19,0.3633633633633634,14,0
45,VOC2012/Annotations/2008_000090.xml,0.033,0.46546546546546547,0.062,0.6726726726726727,14,0
45,VOC2012/Annotations/2008_000090.xml,0.955,0.34534534534534533,0.09,0.16216216216216217,1,3
45,VOC2012/Annotations/2008_000090.xml,0.734,0.35435435435435436,0.1,0.21021021021021022,1,4
46,VOC2012/Annotations/2008_000093.xml,0.871,0.13066666666666665,0.174,0.24533333333333332,19,4
46,VOC2012/Annotations/2008_000093.xml,0.719,0.6106666666666667,0.21,0.272,8,4
46,VOC2012/Annotations/2008_000093.xml,0.801,0.696,0.29,0.35733333333333334,8,0
46,VOC2012/Annotations/2008_000093.xml,0.463,0.5466666666666666,0.354,0.224,17,1
46,VOC2012/Annotations/2008_000093.xml,0.146,0.6533333333333333,0.288,0.384,17,0
47,VOC2012/Annotations/2008_000095.xml,0.7173333333333334,0.431,0.096,0.218,2,4
48,VOC2012/Annotations/2008_000096.xml,0.501,0.5013333333333333,0.998,0.9973333333333333,14,2
48,VOC2012/Annotations/2008_000096.xml,0.512,0.6653333333333333,0.64,0.6693333333333333,7,2
49,VOC2012/Annotations/2008_000097.xml,0.42342342342342343,0.477,0.24024024024024024,0.142,2,4
50,VOC2012/Annotations/2008_000099.xml,0.458,0.3277310924369748,0.428,0.5938375350140056,11,1
50,VOC2012/Annotations/2008_000099.xml,0.523,0.7464985994397759,0.654,0.5070028011204482,16,2
51,VOC2012/Annotations/2008_000103.xml,0.443,0.5146666666666667,0.262,0.7733333333333333,2,0
52,VOC2012/Annotations/2008_000105.xml,0.592,0.5626666666666666,0.324,0.15466666666666667,6,4
53,VOC2012/Annotations/2008_000107.xml,0.42995169082125606,0.694,0.5314009661835749,0.54,8,1
54,VOC2012/Annotations/2008_000109.xml,0.713,0.356,0.254,0.33866666666666667,13,0
54,VOC2012/Annotations/2008_000109.xml,0.485,0.6266666666666667,0.806,0.7466666666666667,6,2
54,VOC2012/Annotations/2008_000109.xml,0.566,0.6066666666666667,0.22,0.7333333333333333,14,0
55,VOC2012/Annotations/2008_000112.xml,0.469,0.5253333333333333,0.606,0.656,7,2
55,VOC2012/Annotations/2008_000112.xml,0.718,0.156,0.14,0.30666666666666664,4,4
56,VOC2012/Annotations/2008_000115.xml,0.57,0.5325,0.704,0.41,7,1
56,VOC2012/Annotations/2008_000115.xml,0.498,0.50125,0.992,0.9975,8,2
57,VOC2012/Annotations/2008_000116.xml,0.365,0.50625,0.554,0.5825,7,2
58,VOC2012/Annotations/2008_000119.xml,0.5549242424242424,0.5180360721442886,0.8901515151515151,0.9639278557114228,12,2
59,VOC2012/Annotations/2008_000120.xml,0.429,0.4608433734939759,0.774,0.6024096385542169,3,2
60,VOC2012/Annotations/2008_000123.xml,0.398,0.34984984984984985,0.352,0.32732732732732733,2,1
61,VOC2012/Annotations/2008_000128.xml,0.511,0.5386666666666666,0.978,0.9226666666666666,17,2
61,VOC2012/Annotations/2008_000128.xml,0.362,0.6133333333333333,0.72,0.7733333333333333,14,2
61,VOC2012/Annotations/2008_000128.xml,0.304,0.7066666666666667,0.24,0.49066666666666664,14,0
62,VOC2012/Annotations/2008_000131.xml,0.517,0.48538961038961037,0.294,0.19805194805194806,2,4
63,VOC2012/Annotations/2008_000132.xml,0.905,0.4786666666666667,0.086,0.392,14,4
63,VOC2012/Annotations/2008_000132.xml,0.12,0.49733333333333335,0.084,0.4026666666666667,14,4
63,VOC2012/Annotations/2008_000132.xml,0.501,0.84,0.998,0.32,5,1
64,VOC2012/Annotations/2008_000133.xml,0.501,0.2891246684350133,0.998,0.5729442970822282,6,2
64,VOC2012/Annotations/2008_000133.xml,0.52,0.48010610079575594,0.96,0.8010610079575596,1,2
65,VOC2012/Annotations/2008_000134.xml,0.544,0.236,0.35733333333333334,0.156,2,4
65,VOC2012/Annotations/2008_000134.xml,0.3293333333333333,0.71,0.296,0.14,2,4
66,VOC2012/Annotations/2008_000138.xml,0.455,0.8036480686695279,0.23,0.11373390557939914,11,4
66,VOC2012/Annotations/2008_000138.xml,0.438,0.4645922746781116,0.136,0.4270386266094421,14,4
66,VOC2012/Annotations/2008_000138.xml,0.306,0.51931330472103,0.14,0.44635193133047213,14,0
66,VOC2012/Annotations/2008_000138.xml,0.263,0.5633047210300429,0.142,0.44849785407725323,14,0
66,VOC2012/Annotations/2008_000138.xml,0.652,0.5525751072961373,0.132,0.4699570815450644,14,0
66,VOC2012/Annotations/2008_000138.xml,0.601,0.4592274678111588,0.162,0.4206008583690987,14,4
67,VOC2012/Annotations/2008_000140.xml,0.8213333333333334,0.722,0.35733333333333334,0.424,3,1
67,VOC2012/Annotations/2008_000140.xml,0.296,0.869,0.5866666666666667,0.146,3,1
68,VOC2012/Annotations/2008_000141.xml,0.594,0.5135135135135135,0.812,0.972972972972973,12,2
68,VOC2012/Annotations/2008_000141.xml,0.117,0.5855855855855856,0.066,0.16816816816816818,14,3
